bibkey,title,authors,year,venue,url,code,problem,method,agent_type,experience_type,what_is_updated,benchmark,key_contribution,limitation,lifecycle_stage,relation_to_taxonomy
zhang2025agenticrl,The Landscape of Agentic Reinforcement Learning for LLMs,Zhang et al.,2025,arXiv 2509.02547,https://arxiv.org/abs/2509.02547,,Survey of agentic RL,Capabilities × applications,Survey,Mixed,Weights,Mixed,N/A,RL-centric survey,RL-only lens,Comparison — Cross-reference for stage 6 RL methods
beyond2025modelnative,Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI,Anonymous,2025,arXiv 2510.16720,http://huggingface.co/papers/2510.16720,,Pipelines vs model-native agents,Pipelines vs model-native split,Survey,Mixed,Weights,Mixed,N/A,Useful for internalization framing,Two-camp view,Comparison — Cited for stage 6 internalization context
jiang2025adaptation,Adaptation of Agentic AI: A Survey of Post-Training Memory and Skills,Jiang et al.,2025,arXiv 2512.16301,https://arxiv.org/abs/2512.16301,,Survey of agent adaptation,Three pillars: post-training/memory/skills,Survey,Mixed,Mixed,Mixed,N/A,Closest content scope,Pillars are parallel not flow,Comparison — Closest in content; we make the pillars sequential stages of one pipeline
yue2026workflow,From Static Templates to Dynamic Runtime Graphs: A Survey of Workflow Optimization for LLM Agents,Yue et al.,2026,arXiv 2603.22386,https://arxiv.org/html/2603.22386,,Survey of workflow optimization,Workflow representation × optimization,Survey,Workflow,Workflow,N/A,Workflow-centric survey,Workflow-only lens,Comparison,Cross-reference for stage 5 abstraction (workflow extraction)
foundationagents2025,Advances in Foundation Agents,Anonymous,2025,arXiv,https://arxiv.org/abs/2504.01990,,Survey of foundation agents,Architecture/enhancement/multi-agent/safety,Survey,Mixed,Mixed,N/A,Broad agent survey,Broad; thin on lifecycle,Comparison,Background context
voyager2023,Voyager: An Open-Ended Embodied Agent with Large Language Models,Wang et al.,2023,NeurIPS 2023 / arXiv 2305.16291,https://arxiv.org/abs/2305.16291,https://voyager.minedojo.org/,Open-ended skill learning in Minecraft,Skill library + curriculum + iterative prompting,Embodied agent,Trajectories + outcomes,External skill library,Minecraft,First lifelong agent with reusable skill library,Domain specific (Minecraft),Stages 1-5,Anchor for stage 5 (abstraction); also illustrates stages 1-3
park2023generativeagents,Generative Agents: Interactive Simulacra of Human Behavior,Park et al.,2023,UIST 2023,https://dl.acm.org/doi/10.1145/3586183.3606763,,Believable simulated agents,Memory stream + reflection + planning,Simulation agent,Observations + reflections,External memory stream,Smallville sandbox,Architecture: memory stream + reflection + planning,Sandbox setting,Stages 2-4,Anchor for stage 4 (consolidation via reflection)
shinn2023reflexion,Reflexion: Language Agents with Verbal Reinforcement Learning,Shinn et al.,2023,NeurIPS 2023,https://arxiv.org/abs/2303.11366,,Verbal RL via self-reflection,Episodic verbal feedback,Tool-using agent,Self-generated reflection,External episodic notes,HotpotQA HumanEval,Verbal RL substitute for parameter updates,Per-task; not cross-task abstraction,Stages 1-4,Anchor for stage 4 reflection
zhao2023expel,ExpeL: LLM Agents Are Experiential Learners,Zhao et al.,2023,arXiv 2308.10144,https://arxiv.org/abs/2308.10144,https://github.com/LeapLabTHU/ExpeL,Cross-task insight extraction,Insight rules from successful/failed trajectories,Tool-using agent,Trajectories,External insight library,ALFWorld WebShop HotpotQA,Insight extraction across tasks,Insights are static once extracted,Stages 1 4 5,Anchor for stage 5 (abstraction)
marc2026experiential,Experiential Reflective Learning for Self-Improving LLM Agents (ERL),Allard et al.,2026,ICLR 2026 Workshop on Memory for LLM-Based Agentic Systems,https://arxiv.org/html/2603.24639,,Heuristic extraction from trajectories,Reflect on trajectory + outcome to make heuristics,Tool-using agent,Trajectories + outcomes,External heuristic store,ALFWorld + HotpotQA,Lightweight task adaptation via heuristics,Heuristics may not generalize,Stages 4 5,Stage 5 (abstraction) example
fang2026trajectory,Trajectory-Informed Memory Generation for Self-Improving Agent Systems,Fang Isahagian et al.,2026,arXiv 2603.10600,https://arxiv.org/html/2603.10600,,Memory generation from trajectories,Sub-task tip extraction with retrieval,Tool-using agent,Trajectories,External tip memory,Held-out tasks,Sub-task vs task-level memory comparison,Limited model size,Stages 4 5 3,Stage 4-5 boundary
xu2025internalizing,Internalizing Agency from Reflective Experience,Xu et al.,2025,arXiv 2603.16843,https://arxiv.org/html/2603.16843v1,,Reflective experience to weights,Trajectory-driven SFT/RL of policy,Tool-using agent,Reflective trajectories,Weights + memory,Multi-environment,Reflection-driven internalization,Cost of fine-tuning,Stages 4-6,Stage 6 anchor for reflection→weights
echo2024hindsight,ECHO: Sample-Efficient Online Learning in LM Agents via Hindsight Trajectory Rewriting,Anonymous,2024,arXiv 2510.10304,https://arxiv.org/html/2510.10304v1,,Hindsight Experience Replay for LM agents,Rewrite failed trajectories as success demonstrations,Tool-using agent,Trajectories,External demonstration store + ICL,Sequential interaction tasks,HER-for-LM-agents formulation,Prompt-only; no weight updates,Stages 1 4 6,Stage 6 anchor for in-context internalization via HER
her2025relabel,Hindsight Experience Replay for LLM Agent Trajectory Relabeling,Anonymous,2025,arXiv 2603.21357,https://arxiv.org/abs/2603.21357v1,,HER for LLM agent trajectories,Relabel goals to convert failure into success,Tool-using agent,Trajectories,Replay buffer,Various agent envs,Goal relabeling for LM agents,HER assumptions may not always hold,Stages 1 6,Stage 6 RL/replay
seal2025,SEAL: Self-Adapting Language Models,Anonymous,2025,arXiv 2506.10943,https://arxiv.org/html/2506.10943v1,https://github.com/Continual-Intelligence/SEAL,Self-edit weight updates,Model generates self-edits trained via RL with downstream reward,Self-adapting LM,Self-generated edits,Weights,Knowledge-incorporation evals,Persistent self-edits via RL,Cost; risk of drift,Stages 1 6,Stage 6 anchor for self-edit internalization
seal2025coevolution,SEAL: Synergistic Co-Evolution of Agents and Learning Environments,Anonymous,2025,HuggingFace papers 2605.24426,https://huggingface.co/papers/2605.24426,,Co-evolve agent and environment,Closed-loop env-policy adaptation,Tool-using agent,Co-evolved tasks,Policy + environment,Tool-use benchmarks,Curriculum co-evolution,Resource intensive,Stages 1 6,Stage 1 anchor for co-evolved acquisition
zhao2026absolute,Absolute Zero: Reinforced Self-Play Reasoning with Zero Data,Zhao et al.,2026,NeurIPS 38,https://arxiv.org/abs/2505.03335,,Zero-data self-play across deduction abduction induction,Proposer-solver self-play with execution feedback,Reasoning model,Self-generated tasks,Weights,Math reasoning benchmarks,Zero-human-data RL training,Domain limited (math),Stages 1 6,Stage 1 anchor for self-generated experience
zuo2026ttrl,TTRL: Test-Time Reinforcement Learning,Zuo et al.,2026,NeurIPS 38,https://arxiv.org/abs/2504.16084,,Test-time RL without labels,Pseudo-label majority vote rewards,Reasoning LM,Pseudo-labels at test time,Weights at test time,AIME,Test-time RL surpassing own supervision ceiling,Stability and safety,Stages 1 6,Stage 6 anchor for test-time internalization
ttt2025fewshot,The Surprising Effectiveness of Test-Time Training for Few-Shot Learning,Anonymous,2025,ICML 2025,https://icml.cc/virtual/2025/poster/44773,,TTT for few-shot LM tasks,Per-instance gradient steps at test,Test-time learning LM,Test inputs,Weights at test time,Few-shot tasks,TTT works for LM few-shot,Cost,Stage 6,Stage 6 internalization at test time
transformer2_2025,Transformer²: Self-Adaptive LLMs,Anonymous,2025,arXiv,https://arxiv.org/abs/2501.06252,,Runtime adapter selection,SVD-based expert vector selection,Self-adaptive LM,Per-query signal,Architecture (expert routing),General benchmarks,Architectural runtime adaptation,No persistent learning,Stage 6,Stage 6 internalization via routing
texttolora2025,Text-to-LoRA,Anonymous,2025,arXiv,https://arxiv.org/abs/2506.06105,,Generate LoRA adapters from task description,Hypernetwork generates adapter weights,Adapter-based LM,Task description,Adapter weights,Adapter benchmarks,Generated adapters,Limited transfer,Stage 6,Stage 6 internalization via generated adapters
cetin2025reinforcement,Reinforcement Learning Teachers of Test Time Scaling,Cetin et al.,2025,NeurIPS 2025,https://proceedings.neurips.cc/paper_files/paper/2025/file/9a6b278218966499194491f55ccf8b75-Paper-Conference.pdf,,Train teacher models to teach,RL on teacher signals,Teacher model,Student outcomes,Teacher weights,Distillation tasks,Teacher quality decoupled from solver capability,Method-specific,Stages 5 6,Stage 5/6 abstraction-as-teaching
limo2025,LIMO: Less Is More for Reasoning,Anonymous,2025,arXiv,https://arxiv.org/abs/2502.03387,,Cognitive templates unlock reasoning,Train on 817 curated examples,Reasoning LM,Curated trajectories,Weights,AIME,817 trajectories unlock reasoning,Curation cost,Stages 5 6,Stage 5 cognitive-template abstraction
guo2025deepseek,DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning,Guo et al.,2025,Nature 645(8081):633-638,https://doi.org/10.1038/s41586-025-09422-z,,Pure RL for reasoning,GRPO-style RL with verifiable rewards,Reasoning LM,Verifiable rewards,Weights,AIME MATH,Pure RL produces strong reasoning,Domain (verifiable rewards),Stage 6,Stage 6 internalization via RL
grpo2025,GRPO: Group Relative Policy Optimization,Anonymous,2025,arXiv,https://arxiv.org/abs/2402.03300,,Compute-efficient PPO variant,Group relative advantage estimation,Reasoning LM,Verifiable rewards,Weights,Math benchmarks,Practical RL algorithm,Implementation specifics,Stage 6,Stage 6 internalization algorithm
hu2025open,Open-Reasoner-Zero: An Open Source Approach to Scaling Up Reinforcement Learning on the Base Model,Hu et al.,2025,CoRR abs/2503.24290,https://doi.org/10.48550/arXiv.2503.24290,,Minimalist RL recipe,Lightweight RL training,Reasoning LM,Verifiable rewards,Weights,Reasoning benchmarks,1/30 training steps of R1-Zero,Replication,Stage 6,Stage 6 internalization recipe
piperesearch2026,What Do Agents Learn from Trajectory-SFT (PIPE),Anonymous,2026,arXiv 2602.01611,https://arxiv.org/html/2602.01611v1,,Probe what trajectory-SFT teaches,Counterfactual interface rewrites,Tool-using agent,Trajectories,Weights,AgentBench AgentGym,Trajectory-SFT amplifies interface shortcutting,Negative result,Stage 6,Stage 6 caveat: SFT on trajectories has hidden cost
trofimova2025openhandstrajs,OpenHands Trajectories with Qwen3-Coder-480B-A35B-Instruct,Trofimova et al.,2025,Nebius blog,https://nebius.com/blog/posts/openhands-trajectories-with-qwen3-coder-480b,,Rejection-sampling fine-tuning on trajectories,Filter successful trajectories then SFT,Coding agent,Trajectories,Weights,SWE-bench,Production RFT recipe,Quality of generator dependent,Stage 6,Stage 6 RFT pipeline example
selfevol_gui_2025,A Self-Evolving GUI Agent Learning via Failed Experience,Anonymous,2025,arXiv 2603.24533,https://arxiv.org/html/2603.24533,,Train GUI agent on failures,Rejection sampling on failed-then-fixed traces,GUI agent,Failed trajectories,Weights,GUI benchmarks,Learning from failure,GUI domain,Stages 1 6,Stage 6 internalization from failure
evolver2025,EvolveR: Self-Evolving LLM Agents through an Experience-Driven Lifecycle,Anonymous,2025,arXiv 2510.16079,https://arxiv.org/abs/2510.16079,https://huggingface.co/Edaizi/EvolveR,Closed-loop experience lifecycle,Offline self-distillation + online RL,Tool-using agent,Trajectories,Memory + weights,Multi-hop QA,Explicit experience-driven lifecycle,Domain (multi-hop QA),Stages 1-6,Anchor system; closest to our pipeline view
agentevolver2025,AgentEvolver: Towards Efficient Self-Evolving Agent System,Anonymous,2025,GitHub,https://github.com/modelscope/AgentEvolver,https://github.com/modelscope/AgentEvolver,Self-evolving framework,Self-questioning + experience-guided exploration + reward attribution,Tool-using agent,Self-generated tasks + trajectories,Weights,Agent benchmarks,Self-evolution framework,Open-source code mostly,Stages 1 5 6,Cross-stage anchor
ell_stulife_2025,Self-Evolving Agent via Experience-Driven Lifelong Learning (ELL-StuLife),ECNU-ICALK,2025,GitHub,https://github.com/ECNU-ICALK/ELL-StuLife,https://github.com/ECNU-ICALK/ELL-StuLife,Lifelong learning agent benchmark,Student-life simulation,Lifelong agent,Trajectories,Mixed,Custom,Lifelong agent dataset,Niche domain,Stages 1-8,Cross-stage anchor
e2e_self_evolve_2025,End-to-End Optimization of Experience-Driven Self-Evolving Capability within Agents,Anonymous,2025,arXiv 2605.10663,https://arxiv.org/abs/2605.10663,,End-to-end optimization of experience use,Joint optimization of distillation pipeline,Tool-using agent,Trajectories,Memory + weights,Tool-use benchmarks,End-to-end self-evolution,Optimization complexity,Stages 1-6,Cross-stage anchor
mem0_2025,Mem0/Mem0g: Production-grade memory for agents,Chhikara et al.,2025,arXiv 2504.19413,https://arxiv.org/abs/2504.19413,,Production memory architecture,Hybrid plaintext + graph memory,Tool-using agent,Conversation memory,External memory,LOCOMO,91% latency reduction,Production-specific,Stage 2,Stage 2 anchor: plaintext+graph memory
amem2025,A-MEM: Zettelkasten-Inspired Self-Organizing Memory for LLM Agents,Anonymous,2025,arXiv,https://arxiv.org/abs/2502.12110,,Self-organizing memory,Note-linking and evolution,Tool-using agent,Conversation memory,External memory,LOCOMO,Self-organizing memory,Cost of linking,Stages 2 4 5,Stage 2 + stage 4 anchor
meminsight2025,MemInsight: Structured Memory Augmentation for Agents,Anonymous,2025,arXiv,https://arxiv.org/abs/2503.21760,,Structured memory augmentation,Schema-augmented retrieval,Tool-using agent,Conversation memory,External memory,LOCOMO,+34% recall over RAG,Structure overhead,Stages 2 3,Stage 2/3
mem1_2025,MEM1: RL-Trained Memory Consolidation,Anonymous,2025,arXiv,https://arxiv.org/abs/2506.15841,,RL-trained memory consolidation,RL learns to consolidate memory,Tool-using agent,Conversation memory,External memory,Long-horizon,3.7× less memory; 1.78× faster,Specific RL setup,Stage 4,Stage 4 anchor: RL-driven consolidation
memos2025,MemOS: An Operating System for Memory,Anonymous,2025,arXiv,https://arxiv.org/abs/2507.03724,,Memory OS for agents,Three-tier memory (parametric/activation/external),System for agents,Mixed,External memory,System,Memory OS abstraction,Engineering-leaning,Stages 2 7,Stage 2/7 anchor
lm2_2025,Large Memory Models LM2,Anonymous,2025,arXiv,https://arxiv.org/abs/2502.06049,,Memory-augmented architecture,Recurrent memory + transformer,Memory-augmented LM,Mixed,Architecture + memory,BABILong,+37% over recurrent memory transformers,Architecture cost,Stage 2,Stage 2 architectural memory
qwenlong_l1_2025,QwenLong-L1: Progressive Context Scaling,Anonymous,2025,arXiv,https://arxiv.org/abs/2505.17667,,Long-context scaling,RL with progressive context,Long-context LM,Mixed,Weights + context,Long-doc benchmarks,Scaling to 120K tokens,Specific,Stage 6,Stage 6 long-horizon internalization
engram2025,ENGRAM: Lightweight Memory Orchestration for Conversational Agents,Anonymous,2025,arXiv 2511.12960,https://arxiv.org/html/2511.12960v1,,Typed memory orchestration,Episodic/semantic/procedural typed memory,Conversation agent,Conversation,External memory,Memory benchmarks,Lightweight typed memory router,Conversational scope,Stages 2 3,Stage 2 typed-memory anchor
mars2025,MaRS: A Cognitive Memory Architecture and Benchmark for Privacy-Aware Generative Agents,Anonymous,2025,arXiv 2512.12856,https://arxiv.org/html/2512.12856v1,,Privacy-aware cognitive memory,Typed nodes with provenance,Generative agent,Mixed,External memory + provenance,Custom,Privacy + provenance + retention schema,Privacy framing,Stages 2 8,Stages 2/8: provenance-aware memory
episode_semantic_2025,Episodic-Semantic Memory Architecture for Long-Horizon Scientific Agents,Anonymous,2025,arXiv 2605.17625,https://arxiv.org/html/2605.17625v1,,Long-horizon scientific agent memory,Episodic-semantic split with consolidation,Scientific agent,Trajectories,External memory,Scientific tasks,Episodic+semantic split for science,Niche domain,Stages 2 4,Stage 2/4
wheeler2025procedural,Procedural Memory Is Not All You Need,Wheeler and Jeunen,2025,ACM UMAP Adjunct 2025,https://doi.org/10.1145/3708319.3734172,,Critique of procedural-only memory,Argues for episodic + semantic,Position,Mixed,Memory,N/A,Argues against pure procedural memory,Position paper,Stage 2,Stage 2 critique
sridhar2025regent,REGENT: A Retrieval-Augmented Generalist Agent That Can Act In-Context in New Environments,Sridhar et al.,2025,ICLR 2025,https://openreview.net/forum?id=NxyfSW6mLK,,Retrieval-augmented generalist agent,Retrieve trajectories at test time,Generalist agent,Trajectories,External + ICL,Robotics + games,3x fewer parameters via retrieval,Domain breadth limited,Stage 3,Stage 3 anchor: retrieval as adaptation
rahl2024,RAHL: Retrieval-Augmented Hierarchical In-Context RL,Anonymous,2024,arXiv 2408.06520,https://arxiv.org/abs/2408.06520,,Hierarchical in-context RL with retrieval,Sub-task decomposition + retrieval,Tool-using agent,Trajectories,ICL + retrieval,ALFWorld WebShop HotpotQA,9-42% improvement via retrieval,Hierarchical only,Stages 3 4,Stages 3/4
gae_retriever_2025,GAE-Retriever / WebRAGent: RAG for Multimodal Web Agent Planning,Anonymous,2025,OpenReview,https://openreview.net/forum?id=L1VPZFbAcu,,Retrieval over web-agent observations,Retrieval-augmented planning,Web agent,Web trajectories,External + ICL,Web tasks,+15% gain via retrieved knowledge,Web domain,Stage 3,Stage 3 web-agent retrieval
learn_to_retrieve_2026,Learning to Retrieve from Agent Trajectories,Anonymous,2026,arXiv 2604.04949,https://arxiv.org/html/2604.04949v1,,Learn retrievers over trajectories,Train retriever on agent trajectories,Tool-using agent,Trajectories,Retriever weights,Trajectory benchmarks,Trajectory-aware retrieval,Specialized,Stage 3,Stage 3 retriever training
evolving_open_ended_2026,Agent Evolving Learning for Open-Ended Environments,Anonymous,2026,arXiv 2604.21725,https://arxiv.org/html/2604.21725v1,,Open-ended agent learning,Combine ExpeL Meta-Reflexion EvoTool,Tool-using agent,Trajectories + tools,Memory + tools,Open-ended,Open-ended evolutionary learning,Open-ended evaluation,Stages 1-5,Cross-stage anchor
factorminer_2026,FactorMiner,Anonymous,2026,arXiv,https://arxiv.org/abs/2602.14670,,Mine reusable factors from trajectories,Pattern mining over trajectories,Tool-using agent,Trajectories,External factor library,Custom,Reusable factor abstraction,Mining quality,Stage 5,Stage 5 abstraction
metareflex_2025,Meta-Reflexion,Anonymous,2025,arXiv,https://arxiv.org/abs/2405.13009,,Meta-level reflection,Reflect on reflections,Tool-using agent,Reflections,External meta-memory,Custom,Hierarchical reflection,Cost,Stage 4,Stage 4 hierarchical reflection
evotool_2026,EvoTool,Anonymous,2026,arXiv,https://arxiv.org/abs/2603.04900,,Evolve tools from experience,Tool synthesis from trajectories,Tool-using agent,Trajectories,Tool registry,Tool-use benchmarks,Tools-from-experience,Domain breadth,Stages 5 8,Stage 5 + 8 (shared tools)
alita2025,Alita: Autonomous MCP Construction,Anonymous,2025,arXiv,https://arxiv.org/abs/2505.20286,,Autonomous tool ecosystem,Web search + code synthesis to build MCP servers,Tool-using agent,Web + execution feedback,Tool registry,Tool-use,Autonomous tool creation,Reliability of synthesized tools,Stages 5 8,Stage 5 + 8: tool synthesis and sharing
toolgen_2025,ToolGen: Tools as Tokens,Anonymous,2025,arXiv,https://arxiv.org/abs/2410.03439,,Tools as vocabulary tokens,Token-level tool integration,Tool-using LM,Tool calls,Vocabulary,Tool benchmarks,Vocabulary-level tool fusion,Vocabulary expansion cost,Stage 2,Stage 2 representation: tools-as-tokens
play2prompt_2025,Play2Prompt: Zero-Shot Tool Discovery,Anonymous,2025,arXiv,https://arxiv.org/abs/2503.14432,,Zero-shot tool discovery,Trial-and-error to learn tool usage,Tool-using LM,Trial trajectories,Prompt + memory,Tool benchmarks,Discover tools without docs,Cost of trial,Stages 1 5,Stage 1/5 tool discovery
nemotron_tool_n1_2025,Nemotron Tool-N1,Anonymous,2025,arXiv,https://arxiv.org/abs/2505.00024,,Rule-based RL for tool use,RL with rule rewards,Tool-using LM,Tool rewards,Weights,Tool benchmarks,Outperforms GPT-4o on tool-use,Compute,Stage 6,Stage 6 RL for tool use
chain_of_tools_2025,Chain-of-Tools: Frozen LLM with Tool Retrieval,Anonymous,2025,arXiv,https://arxiv.org/abs/2503.16779,,Frozen LLM + tool retrieval,Retrieve tools at runtime,Tool-using LM,Tool docs,External tool retriever,Tool benchmarks,Frozen LM with retrieval,Frozen LM ceiling,Stage 3,Stage 3 tool retrieval
aflow_2025,AFlow: MCTS over Code-Represented Workflows,Anonymous,2025,arXiv,https://arxiv.org/abs/2410.10762,,Workflow optimization,MCTS over code workflows,Workflow agent,Trajectories,Workflow graph,Math reasoning,5.7% over manual workflows,Compute,Stages 5 6,Stage 5 workflow abstraction
maas_2025,MaAS: Agentic Supernet,Anonymous,2025,arXiv,https://arxiv.org/abs/2502.04180,,Spawn optimal agent teams per query,Continuous space of agent architectures,Hyperagent,Trajectories,Architecture,Multi-task,6-45% cost of baselines,Architectural complexity,Stage 5,Stage 5 architecture-from-experience
adaptflow_2025,AdaptFlow: Adaptive Workflow Optimization via Meta-Learning,Anonymous,2025,arXiv 2508.08053,https://arxiv.org/html/2508.08053,,Meta-learning for workflows,Bi-level optimization of workflow,Workflow agent,Trajectories,Workflow,Multi-task,Generalizable workflow init,Compute,Stages 5 6,Stage 5 workflow meta-learning
self_optim_dynamic_workflow_2025,A Self-Optimizing Agent with Dynamic Hierarchical Workflow,Anonymous,2025,arXiv 2508.02959,https://arxiv.org/html/2508.02959,,Dynamic hierarchical workflow,Multi-grid graph optimization + self-reflection,Workflow agent,Reflections,Workflow,Multi-task,Workflow self-optimization,Engineering,Stages 4 5,Stage 4-5
agentdebate_workflow_2025,Automating Agent Creation via Agent Debate,Anonymous,2025,arXiv 2503.23781,https://arxiv.org/html/2503.23781v1,,Generate workflows via debate,Multi-agent debate to design workflows,Hyperagent,Debate trajectories,Workflow,Multi-task,Debate-driven workflow generation,Compute,Stages 1 5,Stage 5 workflow synthesis
agentrr_2025,Get Experience from Practice: AgentRR (Record & Replay),Anonymous,2025,arXiv 2505.17716,https://arxiv.org/abs/2505.17716,,Record-and-replay for agents,Trace recording + replay-based reuse,Tool-using agent,Trajectories,External record,Agent benchmarks,Record-replay paradigm,Storage,Stages 2 3,Stage 2/3 record-replay
mctrl_2025,Multi-Agent Continual Evaluation Network MACEval,Anonymous,2025,arXiv 2511.09139,https://arxiv.org/html/2511.09139,https://github.com/zijianchen98/MACEval,Continual evaluation of large models,Cascaded agent network with role assignment,Evaluation framework,Trajectories,Evaluation,Custom,Multi-agent continual evaluation,Eval framework,Stage 8,Stage 8 evaluation
locabench_2025,LOCA-bench: Benchmarking Language Agents Under Controllable Context Growth,Anonymous,2025,arXiv 2602.07962,https://arxiv.org/html/2602.07962,,Controllable context-growth benchmark,Test agent under growing state,Benchmark,Mixed,Evaluation,Custom,Tests context-management strategies,Synthetic,Stage 8,Stage 8 evaluation
lifelongagentbench_2025,LifelongAgentBench: Evaluating LLM Agents as Lifelong Learners,Anonymous,2025,arXiv 2505.11942 OpenReview,https://openreview.net/forum?id=MYqAKKsjF9,,Lifelong-agent benchmark,Group self-consistency mechanism,Benchmark,Trajectories,Evaluation,Custom,First lifelong-agent benchmark,Coverage,Stage 8,Stage 8 evaluation anchor
strategic_planning_catan_2025,Self-Evolving LLM Agents for Strategic Planning,Anonymous,2025,arXiv 2506.04651,https://arxiv.org/html/2506.04651,,Long-horizon strategy in adversarial environments,Self-evolving strategy in Settlers of Catan,Strategic agent,Trajectories,Memory + weights,Catan,Long-horizon strategic eval,Domain,Stages 1-8,Cross-stage anchor for evaluation
wan2026inference,Inference-Time Scaling of Verification: Self-Evolving Deep Research Agents via Test-Time Rubric-Guided Verification,Wan et al.,2026,CoRR abs/2601.15808,https://doi.org/10.48550/arXiv.2601.15808,,Test-time rubric-guided self-evolution,Verifier feedback at inference,Research agent,Rubric feedback,Memory + prompts,Research tasks,Plug-and-play test-time self-evolution,Verifier specific,Stages 4 6,Stage 4/6 test-time
benchmark_self_evolving_memory_2026,Benchmarking LLM Agent Test-time Learning with Self-Evolving Memory,Anonymous,2026,arXiv 2511.20857,https://arxiv.org/abs/2511.20857,,Benchmark for test-time learning with memory,Standardized self-evolving memory benchmark,Benchmark,Trajectories,Evaluation,Custom,Test-time learning + memory benchmark,Coverage,Stage 8,Stage 8 evaluation
locomo_2024,LOCOMO: Long Conversational Memory Benchmark,Anonymous,2024,arXiv,https://arxiv.org/abs/2402.17753,,Long conversation memory benchmark,Multi-session conversational eval,Benchmark,Conversation,Evaluation,Custom,LOCOMO benchmark,Conversation only,Stage 8,Stage 8 evaluation
